7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,
7,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,
7,3,2,0,1,1,1,1,1,1,1,6,2,2,0,1,1,1,1,1,1,6,2,3,7,
7,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,7,
7,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,7,
7,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,7,
7,3,2,3,0,1,1,1,1,1,1,5,2,2,4,1,1,1,1,1,1,5,2,3,7,
7,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,
7,3,2,3,3,2,0,1,1,1,1,1,2,2,1,1,1,1,1,6,2,2,2,3,7,
7,3,2,4,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,7,
7,3,2,2,2,2,3,2,0,1,1,1,1,1,1,1,6,2,2,3,2,2,2,3,7,
7,3,2,0,6,2,3,2,4,1,1,1,1,1,1,1,5,2,2,3,2,2,2,3,7,
7,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,7,
7,3,2,3,3,2,4,1,1,1,1,1,2,2,1,1,1,1,1,5,2,2,2,3,7,
7,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,
7,3,2,3,4,1,1,1,1,1,1,6,2,2,0,1,1,1,1,1,1,6,2,3,7,
7,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,7,
7,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,7,
7,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,7,
7,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,7,
7,3,2,4,1,1,1,1,1,1,1,5,2,2,4,1,1,1,1,1,1,5,2,3,7,
7,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,
7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
